Country,Police,Ambulance,Fire,Helpline,WPS,GPI
Somalia,888,999,555,+252 6153 10381,0.417,3.036
South Africa,10-111,10-177,10-177,0800 150 150,0.688,2.405
South Korea,112,119,119,02 2263 6465,0.848,1.763
South Sudan,999,999,999,623,0.388,3.221
Spain,112,112,112,016,0.859,1.649
Sri Lanka,119,110,110,1938,0.743,2.136
Sudan,999,999,999,+256 200 906263,0.46,3.023
Suriname,115,115,115,+597 404 228,0.694,
Sweden,112,112,112,020 50 50 50,0.926,1.625
Switzerland,117,144,118,044 291 46 46,0.928,1.339
Syria,112,110,113,+90 552 782 99 75,0.407,3.294
Taiwan,110,119,119,113,0.818,1.649
Tajikistan,112,112,112,1313,0.69,2.114
Tanzania,112,114,115,0800 780 100,0.652,2.058
Thailand,191,1669,199,02 929 2222,0.764,2.061
Togo,117,8200,118,8284,0.595,2.13
Tonga,911,911,911,0800 444,0.697,
Trinidad and Tobago,911,811,990,800 7283,0.721,1.946
Tunisia,197,190,198,1899,0.669,2.01
Turkey,112,112,112,183,0.665,2.8
Turkmenistan,112,112,112,+993 12 229 389,0.75,2.107
Tuvalu,911,911,911,+688 20 411,,
Uganda,112,911,112,0800 199 399,0.544,2.3
Ukraine,102,103,101,0 800 500 335,0.626,3.043
United Arab Emirates,999,999,999,8001 111,0.868,1.979
United Kingdom,112,112,112,0800 0124 924,0.86,1.693
United States,911,911,911,800 656 4673,0.823,2.448
Uruguay,911,911,911,0800 4141,0.748,1.798
Uzbekistan,112,112,112,1146,0.674,2.033
Vanuatu,111,112,113,161,0.644,
Vatican City,112,112,112,,,
Venezuela,911,911,911,0800 685 37 37,0.628,2.693
Vietnam,113,115,114,024 3333 55 99,0.707,1.745
Yemen,194,191,191,136,0.287,3.35
Zambia,999,999,999,933,0.556,1.898
Zimbabwe,999,999,999,08080074,0.604,2.3
default,---,---,---,---,,
